"ProtID","Class","Subphylum"
"Spec54|QDS71599.1","canH3","Ascomycota"
"Spec54|QDS70267.1","cenH3","Ascomycota"
"Spec55|GFF73418.1","cenH3","Ascomycota"
"Spec55|GFF75399.1","canH3","Ascomycota"
"Spec56|KAB8213060.1","canH3","Ascomycota"
"Spec56|KAB8213060.1","cenH3","Ascomycota"
"Spec56|KAB8216752.1","cenH3","Ascomycota"
"Spec56|KAB8223699.1","canH3","Ascomycota"
"Spec57|KAE8309057.1","cenH3","Ascomycota"
"Spec57|KAE8316759.1","canH3","Ascomycota"
"Spec58|GCB27991.1","cenH3","Ascomycota"
"Spec58|GCB22813.1","canH3","Ascomycota"
"Spec59|PWY81136.1","canH3","Ascomycota"
"Spec60|KAL0637876.1","cenH3","Ascomycota"
"Spec60|KAL0636585.1","cenH3","Ascomycota"
"Spec60|KAL0635944.1","canH3","Ascomycota"
"Spec60|KAL0632761.1","canH3","Ascomycota"
"Spec61|GFF57673.1","cenH3","Ascomycota"
"Spec61|GFF54598.1","canH3","Ascomycota"
"Spec62|CAI7595336.1","canH3","Ascomycota"
"Spec62|CAI7677102.1","cenH3","Ascomycota"
"Spec63|KAE8411148.1","cenH3","Ascomycota"
"Spec63|KAE8411931.1","canH3","Ascomycota"
"Spec64|KAE8339284.1","cenH3","Ascomycota"
"Spec64|KAE8334467.1","canH3","Ascomycota"
"Spec64|KAE8336607.1","canH3","Ascomycota"
"Spec64|KAE8334467.1","cenH3","Ascomycota"
"Spec65|KAI5821182.1","canH3","Ascomycota"
"Spec65|KAI5820367.1","cenH3","Ascomycota"
"Spec66|RDK47767.1","canH3","Ascomycota"
"Spec66|RDK36677.1","cenH3","Ascomycota"
"Spec67|CAI7659882.1","cenH3","Ascomycota"
"Spec67|CAI7608991.1","canH3","Ascomycota"
"Spec68|CAI7615027.1","cenH3","Ascomycota"
"Spec68|CAI7636738.1","canH3","Ascomycota"
"Spec69|RAH80694.1","canH3","Ascomycota"
"Spec69|RAH80241.1","cenH3","Ascomycota"
"Spec70|KAG8528208.1","canH3","Ascomycota"
"Spec71|KAE8143341.1","canH3","Ascomycota"
"Spec71|KAE8142107.1","cenH3","Ascomycota"
"Spec72|RVD83324.1","cenH3","Ascomycota"
"Spec72|RVD85208.1","canH3","Ascomycota"
"Spec73|RDH37340.1","cenH3","Ascomycota"
"Spec73|RDH38506.1","canH3","Ascomycota"
"Spec74|RAH70935.1","cenH3","Ascomycota"
"Spec74|RAH65601.1","canH3","Ascomycota"
"Spec75|RAL07086.1","cenH3","Ascomycota"
"Spec75|RAL17087.1","canH3","Ascomycota"
"Spec76|KAG1856667.1","canH3","Basidiomycota"
"Spec76|KAG1860283.1","canH3","Basidiomycota"
"Spec76|KAG1842256.1","canH3","Basidiomycota"
"Spec76|KAG1866530.1","cenH3","Basidiomycota"
"Spec76|KAG1829229.1","canH3","Basidiomycota"
"Spec76|KAG1860302.1","canH3","Basidiomycota"
"Spec76|KAG1860282.1","canH3","Basidiomycota"
"Spec77|KAI9813747.1","cenH3","Ascomycota"
"Spec77|KAI9809466.1","canH3","Ascomycota"
"Spec78|KAE8144973.1","cenH3","Ascomycota"
"Spec78|KAE8153898.1","canH3","Ascomycota"
"Spec79|OJJ81938.1","cenH3","Ascomycota"
"Spec79|OJJ87543.1","canH3","Ascomycota"
"Spec80|KAF7591295.1","cenH3","Ascomycota"
"Spec80|KAF7597527.1","canH3","Ascomycota"
"Spec81|RAK94741.1","cenH3","Ascomycota"
"Spec81|RAK87555.1","canH3","Ascomycota"
"Spec82|OOF91122.1","cenH3","Ascomycota"
"Spec82|OOG00706.1","canH3","Ascomycota"
"Spec83|OKL56815.1","cenH3","Ascomycota"
"Spec83|OKL64307.1","canH3","Ascomycota"
"Spec84|QKX60034.1","cenH3","Ascomycota"
"Spec84|QKX62191.1","canH3","Ascomycota"
"Spec85|CRL21906.1","cenH3","Ascomycota"
"Spec85|CRL24975.1","canH3","Ascomycota"
"Spec86|OJJ97324.1","cenH3","Ascomycota"
"Spec86|OJK04715.1","canH3","Ascomycota"
"Spec87|KAF2142755.1","cenH3","Ascomycota"
"Spec87|KAF2147218.1","canH3","Ascomycota"
"Spec88|KAI9749494.1","canH3","Ascomycota"
"Spec89|KAL4738686.1","cenH3","Ascomycota"
"Spec89|KAL4743240.1","canH3","Ascomycota"
"Spec90|KAL4801381.1","cenH3","Ascomycota"
"Spec90|KAL4806603.1","canH3","Ascomycota"
"Spec91|OQE89844.1","canH3","Ascomycota"
"Spec91|OQE92946.1","cenH3","Ascomycota"
"Spec92|KAE8167107.1","canH3","Ascomycota"
"Spec92|KAE8155659.1","cenH3","Ascomycota"
"Spec93|RHZ45778.1","cenH3","Ascomycota"
"Spec93|RHZ54468.1","canH3","Ascomycota"
"Spec94|OOO11228.1","canH3","Ascomycota"
"Spec94|OOO05833.1","cenH3","Ascomycota"
"Spec95|KAJ5180291.1","cenH3","Ascomycota"
"Spec95|KAJ5161692.1","canH3","Ascomycota"
"Spec96|KAJ5109807.1","cenH3","Ascomycota"
"Spec96|KAJ5082371.1","canH3","Ascomycota"
"Spec97|KAI4148907.1","canH3","Ascomycota"
"Spec98|KAJ5285211.1","canH3","Ascomycota"
"Spec98|KAJ5254098.1","cenH3","Ascomycota"
"Spec99|MCJ1244904.1","canH3","Ascomycota"
"Spec99|MCJ1247845.1","cenH3","Ascomycota"
"Spec100|MCJ1351132.1","cenH3","Ascomycota"
"Spec100|MCJ1360567.1","canH3","Ascomycota"
"Spec101|MCJ1296617.1","canH3","Ascomycota"
"Spec101|MCJ1293822.1","cenH3","Ascomycota"
"Spec102|MCJ1393032.1","cenH3","Ascomycota"
"Spec102|MCJ1396804.1","canH3","Ascomycota"
"Spec103|MCJ1276967.1","cenH3","Ascomycota"
"Spec103|MCJ1275314.1","canH3","Ascomycota"
"Spec104|EPS25300.1","canH3","Ascomycota"
"Spec104|EPS26169.1","cenH3","Ascomycota"
"Spec105|KAJ5615301.1","canH3","Ascomycota"
"Spec105|KAJ5598405.1","cenH3","Ascomycota"
"Spec106|OQD78548.1","canH3","Ascomycota"
"Spec106|OQD78133.1","cenH3","Ascomycota"
"Spec107|OJJ35102.1","canH3","Ascomycota"
"Spec107|OJJ38482.1","cenH3","Ascomycota"
"Spec108|KAJ0424824.1","canH3","Ascomycota"
"Spec108|KAJ0413888.1","cenH3","Ascomycota"
"Spec109|KAI9034832.1","cenH3","Ascomycota"
"Spec109|KAI9040841.1","canH3","Ascomycota"
"Spec110|BDD61818.1","cenH3","Ascomycota"
"Spec110|BDD64345.1","canH3","Ascomycota"
"Spec111|KAI9370815.1","canH3","Ascomycota"
"Spec111|KAI9371670.1","cenH3","Ascomycota"
"Spec112|KAI9857844.1","canH3","Ascomycota"
"Spec113|KEQ96005.1","cenH3","Ascomycota"
"Spec113|KEQ94913.1","canH3","Ascomycota"
"Spec114|KAF2404422.1","cenH3","Ascomycota"
"Spec114|KAF2402299.1","canH3","Ascomycota"
"Spec115|KAI5854934.1","cenH3","Ascomycota"
"Spec115|KAI5848894.1","canH3","Ascomycota"
"Spec115|KAI5842797.1","cenH3","Ascomycota"
"Spec116|KAI9804165.1","canH3","Ascomycota"
"Spec116|KAI9808691.1","cenH3","Ascomycota"
"Spec117|EYE99137.1","canH3","Ascomycota"
"Spec117|EYE90540.1","cenH3","Ascomycota"
"Spec118|EAW22483.1","canH3","Ascomycota"
"Spec118|EAW15775.1","cenH3","Ascomycota"
"Spec119|OAG34377.1","cenH3","Ascomycota"
"Spec119|OAG40678.1","canH3","Ascomycota"
"Spec120|EAW08656.1","cenH3","Ascomycota"
"Spec120|EAW07451.1","canH3","Ascomycota"
"Spec121|OJJ69189.1","cenH3","Ascomycota"
"Spec121|OJJ73516.1","canH3","Ascomycota"
"Spec122|OGE54986.1","canH3","Ascomycota"
"Spec122|OGE51119.1","cenH3","Ascomycota"
"Spec123|KAI4278064.1","canH3","Ascomycota"
"Spec124|CEL01635.1","cenH3","Ascomycota"
"Spec124|CEL09549.1","canH3","Ascomycota"
"Spec125|WEW54925.1","canH3","Ascomycota"
"Spec125|WEW61542.1","cenH3","Ascomycota"
"Spec126|OAP54050.1","cenH3","Ascomycota"
"Spec126|OAP56850.1","cenH3","Ascomycota"
"Spec126|OAP63151.1","canH3","Ascomycota"
"Spec127|ODM18669.1","canH3","Ascomycota"
"Spec127|ODM20409.1","cenH3","Ascomycota"
"Spec128|TGZ78144.1","canH3","Ascomycota"
"Spec128|TGZ80957.1","cenH3","Ascomycota"
"Spec129|RMZ27960.1","canH3","Ascomycota"
"Spec129|RMZ24320.1","cenH3","Ascomycota"
"Spec129|RMZ30155.1","canH3","Ascomycota"
"Spec129|RMZ22629.1","cenH3","Ascomycota"
"Spec130|KAL4770343.1","canH3","Ascomycota"
"Spec130|KAL4776153.1","cenH3","Ascomycota"
"Spec131|KAB8200327.1","cenH3","Ascomycota"
"Spec131|KAB8211281.1","canH3","Ascomycota"
"Spec132|KAL4795350.1","canH3","Ascomycota"
"Spec132|KAL4793506.1","cenH3","Ascomycota"
"Spec133|KAL4759927.1","cenH3","Ascomycota"
"Spec133|KAL4762604.1","canH3","Ascomycota"
"Spec134|KAF3387888.1","cenH3","Ascomycota"
"Spec134|KAF3392293.1","canH3","Ascomycota"
"Spec134|KAF3407038.1","cenH3","Ascomycota"
"Spec135|KAB8266882.1","cenH3","Ascomycota"
"Spec135|KAB8279402.1","canH3","Ascomycota"
"Spec136|KAB8074959.1","canH3","Ascomycota"
"Spec136|KAB8070826.1","cenH3","Ascomycota"
"Spec137|KAL4750694.1","canH3","Ascomycota"
"Spec137|KAL4750234.1","cenH3","Ascomycota"
"Spec138|KKK15409.1","cenH3","Ascomycota"
"Spec138|KKK26676.1","canH3","Ascomycota"
"Spec139|KOC14412.1","cenH3","Ascomycota"
"Spec139|KOC11757.1","canH3","Ascomycota"
"Spec140|CEO59349.1","canH3","Ascomycota"
"Spec140|CEO58334.1","cenH3","Ascomycota"
"Spec141|RDW52896.1","canH3","Ascomycota"
"Spec141|RDW55406.1","cenH3","Ascomycota"
"Spec142|RMJ21534.1","cenH3","Ascomycota"
"Spec142|RMJ24491.1","canH3","Ascomycota"
"Spec143|KAL4780538.1","cenH3","Ascomycota"
"Spec143|KAL4779637.1","canH3","Ascomycota"
"Spec144|CRG88820.1","cenH3","Ascomycota"
"Spec144|CRG89558.1","canH3","Ascomycota"
"Spec145|CAI7632569.1","cenH3","Ascomycota"
"Spec145|CAI7609247.1","canH3","Ascomycota"
"Spec146|KAL4815653.1","canH3","Ascomycota"
"Spec146|KAL4818237.1","cenH3","Ascomycota"
"Spec147|KAI9741909.1","cenH3","Ascomycota"
"Spec147|KAI9736655.1","canH3","Ascomycota"
"Spec148|KNG80169.1","cenH3","Ascomycota"
"Spec148|KNG89656.1","canH3","Ascomycota"
"Spec149|KAI9878746.1","cenH3","Ascomycota"
"Spec149|KAI9876247.1","canH3","Ascomycota"
"Spec149|KAI9874936.1","canH3","Ascomycota"
"Spec150|CAZ82512.1","cenH3","Ascomycota"
"Spec150|CAZ83100.1","canH3","Ascomycota"
"Spec151|PWW74589.1","canH3","Ascomycota"
"Spec151|PWW75422.1","cenH3","Ascomycota"
"Spec152|RPA89448.1","cenH3","Ascomycota"
"Spec152|RPA92853.1","canH3","Ascomycota"
"Spec152|RPB00100.1","canH3","Ascomycota"
"Spec153|KAG0641073.1","cenH3","Ascomycota"
"Spec153|KAG0643874.1","canH3","Ascomycota"
"Spec153|KAG0633345.1","cenH3","Ascomycota"
"Spec154|EXJ87992.1","canH3","Ascomycota"
"Spec154|EXJ80488.1","cenH3","Ascomycota"
"Spec155|EME81004.1","canH3","Ascomycota"
"Spec156|KEQ79930.1","canH3","Ascomycota"
"Spec156|KEQ84650.1","cenH3","Ascomycota"
"Spec157|KEQ74764.1","canH3","Ascomycota"
"Spec157|KEQ75617.1","cenH3","Ascomycota"
"Spec158|KIV80462.1","cenH3","Ascomycota"
"Spec158|KIV85605.1","cenH3","Ascomycota"
"Spec158|KIV79754.1","canH3","Ascomycota"
"Spec159|KAJ5627769.1","canH3","Ascomycota"
"Spec159|KAJ5628437.1","cenH3","Ascomycota"
"Spec160|CAD0092279.1","canH3","Ascomycota"
"Spec161|EXJ71906.1","cenH3","Ascomycota"
"Spec161|EXJ75491.1","canH3","Ascomycota"
"Spec162|KOS40344.1","cenH3","Ascomycota"
"Spec162|KOS41798.1","canH3","Ascomycota"
"Spec163|EPE34077.1","cenH3","Ascomycota"
"Spec163|EPE25791.1","canH3","Ascomycota"
"Spec164|KAF4620170.1","cenH3","Ascomycota"
"Spec164|KAF4634833.1","canH3","Ascomycota"
"Spec164|KAF4610410.1","cenH3","Ascomycota"
"Spec165|KIN01453.1","canH3","Ascomycota"
"Spec165|KIN06184.1","cenH3","Ascomycota"
"Spec166|KIW35843.1","canH3","Ascomycota"
"Spec166|KIW36444.1","cenH3","Ascomycota"
"Spec166|KIW46569.1","canH3","Ascomycota"
"Spec166|KIW35781.1","canH3","Ascomycota"
"Spec166|KIW47369.1","cenH3","Ascomycota"
"Spec167|OBT98951.1","cenH3","Ascomycota"
"Spec167|OBT94272.1","canH3","Ascomycota"
"Spec168|KIV91051.1","cenH3","Ascomycota"
"Spec168|KIV94907.1","canH3","Ascomycota"
"Spec169|KIW21887.1","cenH3","Ascomycota"
"Spec169|KIW23618.1","canH3","Ascomycota"
"Spec170|GAM82027.1","canH3","Ascomycota"
"Spec171|KYG44625.1","cenH3","Ascomycota"
"Spec171|KYG44830.1","canH3","Ascomycota"
"Spec172|KAI9761579.1","canH3","Ascomycota"
"Spec173|KAI6709091.1","canH3","Ascomycota"
"Spec173|KAI6716390.1","cenH3","Ascomycota"
"Spec174|KAI9780583.1","cenH3","Ascomycota"
"Spec174|KAI9785847.1","canH3","Ascomycota"
"Spec175|KAI5286909.1","cenH3","Ascomycota"
"Spec175|KAI5283945.1","canH3","Ascomycota"
"Spec176|KAI1617166.1","canH3","Ascomycota"
"Spec176|KAI1617890.1","cenH3","Ascomycota"
"Spec176|KAI1610549.1","cenH3","Ascomycota"
"Spec177|KAK8205282.1","cenH3","Ascomycota"
"Spec177|KAK8206593.1","canH3","Ascomycota"
"Spec178|KAI4133931.1","canH3","Ascomycota"
"Spec179|KAI9718887.1","cenH3","Ascomycota"
"Spec179|KAI9710852.1","canH3","Ascomycota"
"Spec180|CAL3962426.1","canH3","Ascomycota"
"Spec180|CAL3965649.1","cenH3","Ascomycota"
"Spec181|KAJ5901888.1","canH3","Ascomycota"
"Spec181|KAJ5902508.1","cenH3","Ascomycota"
"Spec182|RKF71286.1","cenH3","Ascomycota"
"Spec182|RKF65336.1","canH3","Ascomycota"
"Spec182|RKF77625.1","canH3","Ascomycota"
"Spec183|CAK4024733.1","canH3","Ascomycota"
"Spec183|CAK4033116.1","cenH3","Ascomycota"
"Spec184|TVY44345.1","cenH3","Ascomycota"
"Spec184|TVY43339.1","canH3","Ascomycota"
"Spec185|KAL2871285.1","cenH3","Ascomycota"
"Spec185|KAL2869343.1","canH3","Ascomycota"
"Spec186|CAG8971942.1","cenH3","Ascomycota"
"Spec186|CAG8971022.1","canH3","Ascomycota"
"Spec187|TVY21262.1","cenH3","Ascomycota"
"Spec187|TVY19929.1","canH3","Ascomycota"
"Spec188|ETI25694.1","canH3","Ascomycota"
"Spec188|ETI23048.1","cenH3","Ascomycota"
"Spec189|TVY57492.1","canH3","Ascomycota"
"Spec190|TKA57016.1","cenH3","Ascomycota"
"Spec190|TKA73181.1","cenH3","Ascomycota"
"Spec190|TKA63805.1","canH3","Ascomycota"
"Spec191|PUU79952.1","canH3","Ascomycota"
"Spec191|PUU78179.1","canH3","Ascomycota"
"Spec191|PUU80751.1","cenH3","Ascomycota"
"Spec192|KAI5984736.1","canH3","Basidiomycota"
"Spec192|KAI6001252.1","canH3","Basidiomycota"
"Spec192|KAI5991148.1","canH3","Basidiomycota"
"Spec192|KAI5998203.1","canH3","Basidiomycota"
"Spec192|KAI6003771.1","cenH3","Basidiomycota"
"Spec192|KAI6001258.1","canH3","Basidiomycota"
"Spec192|KAI5981771.1","canH3","Basidiomycota"
"Spec193|OAL34082.1","canH3","Ascomycota"
"Spec194|KAL2698260.1","cenH3","Ascomycota"
"Spec194|KAL2697183.1","canH3","Ascomycota"
"Spec195|KAH9822763.1","cenH3","Ascomycota"
"Spec195|KAH9845796.1","canH3","Ascomycota"
"Spec196|RFU34520.1","canH3","Ascomycota"
"Spec196|RFU30330.1","cenH3","Ascomycota"
"Spec196|RFU35806.1","cenH3","Ascomycota"
"Spec197|KEQ61096.1","canH3","Ascomycota"
"Spec198|KAF2773529.1","cenH3","Ascomycota"
"Spec198|KAF2773598.1","canH3","Ascomycota"
"Spec199|RPB24917.1","canH3","Ascomycota"
"Spec199|RPB25389.1","cenH3","Ascomycota"
"Spec200|KIW65871.1","canH3","Ascomycota"
"Spec201|KAI1007016.1","cenH3","Ascomycota"
"Spec201|KAI1000507.1","canH3","Ascomycota"
"Spec202|KAF8457158.1","cenH3","Ascomycota"
"Spec202|KAF8430659.1","canH3","Ascomycota"
"Spec203|CZS92428.1","canH3","Ascomycota"
"Spec203|CZS93591.1","cenH3","Ascomycota"
"Spec203|CZS92428.1","cenH3","Ascomycota"
"Spec203|CZS92464.1","cenH3","Ascomycota"
"Spec203|CZT13461.1","canH3","Ascomycota"
"Spec204|MCJ1364292.1","canH3","Ascomycota"
"Spec204|MCJ1363268.1","cenH3","Ascomycota"
"Spec205|KAI9867552.1","canH3","Ascomycota"
"Spec205|KAI9864554.1","cenH3","Ascomycota"
"Spec206|KAG0137986.1","canH3","Ascomycota"
"Spec206|KAG0137776.1","cenH3","Ascomycota"
"Spec206|KAG0137741.1","cenH3","Ascomycota"
"Spec206|KAG0135132.1","canH3","Ascomycota"
"Spec206|KAG0135132.1","cenH3","Ascomycota"
"Spec207|USW51678.1","cenH3","Ascomycota"
"Spec207|USW56627.1","canH3","Ascomycota"
"Spec208|PMD35480.1","canH3","Ascomycota"
"Spec208|PMD43777.1","cenH3","Ascomycota"
"Spec209|KAJ5514982.1","canH3","Ascomycota"
"Spec209|KAJ5504806.1","cenH3","Ascomycota"
"Spec210|PBP20266.1","cenH3","Ascomycota"
"Spec210|PBP25662.1","canH3","Ascomycota"
"Spec210|PBP15570.1","canH3","Ascomycota"
"Spec210|PBP17059.1","cenH3","Ascomycota"
"Spec211|CAG8956970.1","canH3","Ascomycota"
"Spec211|CAG8959543.1","cenH3","Ascomycota"
"Spec212|KAI4129675.1","canH3","Ascomycota"
"Spec212|KAI4138726.1","cenH3","Ascomycota"
"Spec213|KAI4109584.1","canH3","Ascomycota"
"Spec213|KAI4095528.1","cenH3","Ascomycota"
"Spec214|KAI4228139.1","canH3","Ascomycota"
"Spec214|KAI4223173.1","cenH3","Ascomycota"
"Spec215|KAI4167797.1","canH3","Ascomycota"
"Spec216|CAL8581819.1","canH3","Ascomycota"
"Spec216|CAL8583135.1","cenH3","Ascomycota"
"Spec217|KAI4282260.1","canH3","Ascomycota"
"Spec217|KAI4271616.1","cenH3","Ascomycota"
"Spec218|KAI4106213.1","canH3","Ascomycota"
"Spec218|KAI4109504.1","cenH3","Ascomycota"
"Spec219|KAI4095393.1","cenH3","Ascomycota"
"Spec219|KAI4094470.1","canH3","Ascomycota"
"Spec220|KKY17757.1","canH3","Ascomycota"
"Spec221|RKF54197.1","canH3","Ascomycota"
"Spec221|RKF65912.1","cenH3","Ascomycota"
"Spec221|RKF60010.1","canH3","Ascomycota"
"Spec222|KZZ87528.1","cenH3","Ascomycota"
"Spec222|KZZ93205.1","canH3","Ascomycota"
"Spec223|KXT17838.1","canH3","Ascomycota"
"Spec224|KAI4216251.1","canH3","Ascomycota"
"Spec225|POS87983.1","cenH3","Ascomycota"
"Spec225|POS84963.1","canH3","Ascomycota"
"Spec225|POS82460.1","canH3","Ascomycota"
"Spec226|KAI5295618.1","cenH3","Ascomycota"
"Spec226|KAI5297533.1","canH3","Ascomycota"
"Spec227|KAI5302037.1","cenH3","Ascomycota"
"Spec227|KAI5298252.1","canH3","Ascomycota"
"Spec228|KAF2857937.1","canH3","Ascomycota"
"Spec228|KAF2857232.1","canH3","Ascomycota"
"Spec228|KAF2861879.1","cenH3","Ascomycota"
"Spec229|KAI9815628.1","canH3","Ascomycota"
"Spec229|KAI9813017.1","cenH3","Ascomycota"
"Spec230|PYH48343.1","canH3","Ascomycota"
"Spec230|PYH48244.1","cenH3","Ascomycota"
"Spec231|RDW89963.1","canH3","Ascomycota"
"Spec232|KAI5849564.1","canH3","Ascomycota"
"Spec232|KAI5845787.1","canH3","Ascomycota"
"Spec232|KAI5849564.1","cenH3","Ascomycota"
"Spec233|RJE18888.1","cenH3","Ascomycota"
"Spec233|RJE17732.1","canH3","Ascomycota"
"Spec234|CAG8893513.1","canH3","Ascomycota"
"Spec234|CAG8896402.1","cenH3","Ascomycota"
